"","age","bounce_time","county","location","chosen"
"271",62,199.7898795,"dorset","b",1
"272",81,196.9084076,"dorset","b",1
"273",81,202.5377201,"dorset","b",1
"274",53,193.4432113,"dorset","b",0
"275",53,204.5964783,"dorset","b",1
"276",59,194.6660724,"dorset","b",1
"277",78,198.9087408,"dorset","b",1
"278",90,202.8991734,"dorset","b",1
"279",70,194.0053025,"dorset","b",1
"280",70,204.432935,"dorset","b",1
"281",69,198.599238,"dorset","c",1
"282",79,198.4922727,"dorset","c",0
"283",80,203.0018325,"dorset","c",0
"284",87,204.0924923,"dorset","c",1
"285",69,196.6191159,"dorset","c",1
"286",80,197.2118055,"dorset","c",1
"287",76,197.4367955,"dorset","c",1
"288",71,196.3309402,"dorset","c",0
"289",100,200.2723806,"dorset","c",1
"290",100,191.2489292,"dorset","c",1
"291",90,208.3710426,"dorset","c",1
"292",100,199.1000412,"dorset","c",1
"293",91,195.2930049,"dorset","c",1
"294",100,192.9174389,"dorset","c",1
"295",49,199.0632277,"dorset","c",0
"296",76,193.4526523,"dorset","c",1
"297",100,196.5466237,"dorset","c",1
"298",85,193.2691794,"dorset","c",1
"299",47,196.2377882,"dorset","c",1
"300",70,208.3468606,"dorset","c",1
"301",19,169.8457111,"london","a",0
"302",31,168.4443179,"london","a",0
"303",32,172.6260848,"london","a",1
"304",48,169.9158692,"london","a",1
"305",28,169.4562011,"london","a",0
"306",47,173.2164946,"london","a",1
"307",33,182.0087228,"london","a",0
"308",23,172.2301887,"london","a",0
"309",33,162.3266403,"london","a",0
"310",42,174.1197927,"london","a",0
"311",32,170.464896,"london","a",0
"312",50,172.0604235,"london","a",0
"313",33,166.3266633,"london","a",0
"314",4,171.0507305,"london","a",0
"315",25,164.9587105,"london","a",0
"316",19,168.6704394,"london","a",0
"317",40,178.4998931,"london","a",0
"318",26,177.7946445,"london","a",0
"319",30,171.0892154,"london","a",0
"320",24,174.7524868,"london","a",1
"321",30,177.5754957,"london","b",1
"322",52,169.0762543,"london","b",1
"323",31,175.9195615,"london","b",0
"324",18,176.4742145,"london","b",0
"325",34,171.933489,"london","b",0
"326",27,169.1192163,"london","b",1
"327",52,171.6060259,"london","b",1
"328",55,172.8035081,"london","b",1
"329",34,185.0029331,"london","b",0
"330",14,175.4381516,"london","b",0
"331",42,184.3563081,"london","b",0
"332",35,178.1971182,"london","b",1
"333",58,175.3422198,"london","b",1
"334",39,185.9965017,"london","b",1
"335",4,173.5325881,"london","b",0
"336",27,179.1025508,"london","b",1
"337",41,185.4089792,"london","b",0
"338",35,182.8629878,"london","b",0
"339",42,182.5324659,"london","b",0
"340",40,179.6827508,"london","b",0
"341",41,190.3528249,"london","c",0
"342",55,189.6619891,"london","c",1
"343",48,189.8144079,"london","c",1
"344",20,191.637876,"london","c",0
"345",21,183.4594161,"london","c",0
"346",25,196.1379368,"london","c",0
"347",43,192.2720432,"london","c",1
"348",42,186.1325782,"london","c",1
"349",15,193.6163673,"london","c",0
"350",38,197.504274,"london","c",0
"351",16,188.9933373,"london","c",0
"352",45,184.0380145,"london","c",0
"353",26,191.7543213,"london","c",0
"354",25,190.4149845,"london","c",0
"355",7,184.1359253,"london","c",0
"356",31,198.5599755,"london","c",1
"357",20,187.8678848,"london","c",0
"358",26,189.6532957,"london","c",0
"359",14,196.0603978,"london","c",1
"360",25,186.4692712,"london","c",0
"361",84,210.7849136,"cheshire","a",1
"362",98,216.177762,"cheshire","a",1
"363",83,202.6896246,"cheshire","a",1
"364",67,207.9572995,"cheshire","a",1
"365",60,213.5493376,"cheshire","a",1
"366",93,214.9188549,"cheshire","a",1
"367",73,205.9777832,"cheshire","a",1
"368",33,210.4354024,"cheshire","a",0
"369",75,214.2783122,"cheshire","a",1
"370",77,208.3020933,"cheshire","a",1
"371",65,218.5710411,"cheshire","a",1
"372",73,213.0088214,"cheshire","a",1
"373",65,201.3747601,"cheshire","a",1
"374",55,208.8451337,"cheshire","a",0
"375",48,212.5688928,"cheshire","a",0
"376",75,212.9179121,"cheshire","a",1
"377",77,207.9578875,"cheshire","a",0
"378",83,209.1888438,"cheshire","a",1
"379",78,209.1163802,"cheshire","a",1
"380",62,205.4238249,"cheshire","a",0
"381",69,216.7468,"cheshire","b",0
"382",85,220.1734949,"cheshire","b",1
"383",62,215.9364267,"cheshire","b",1
"384",53,222.5172536,"cheshire","b",0
"385",64,217.7349199,"cheshire","b",0
"386",72,220.2700929,"cheshire","b",1
"387",100,209.490674,"cheshire","b",1
"388",43,232.0245441,"cheshire","b",0
"389",57,222.4751674,"cheshire","b",1
"390",64,212.103999,"cheshire","b",1
"391",98,215.7331782,"cheshire","b",1
"392",63,218.0322671,"cheshire","b",0
"393",94,230.6504174,"cheshire","b",1
"394",65,215.8086151,"cheshire","b",0
"395",53,218.4740889,"cheshire","b",1
"396",80,217.2142413,"cheshire","b",0
"397",78,219.5686339,"cheshire","b",0
"398",80,219.1786122,"cheshire","b",0
"399",66,214.5941259,"cheshire","b",0
"400",79,229.194926,"cheshire","b",0
"401",63,224.1063165,"cheshire","c",1
"402",78,235.2356907,"cheshire","c",1
"403",41,230.1745264,"cheshire","c",0
"404",73,228.7563058,"cheshire","c",1
"405",77,235.7619325,"cheshire","c",1
"406",63,226.0114365,"cheshire","c",1
"407",85,227.3245942,"cheshire","c",0
"408",37,231.6467391,"cheshire","c",1
"409",46,229.4615062,"cheshire","c",0
"410",70,227.8427592,"cheshire","c",0
"411",45,224.7289876,"cheshire","c",1
"412",64,226.2744909,"cheshire","c",1
"413",57,231.5607752,"cheshire","c",0
"414",53,233.6532496,"cheshire","c",0
"415",74,227.8715397,"cheshire","c",1
"416",67,234.9150294,"cheshire","c",1
"417",68,236.3624529,"cheshire","c",1
"418",69,218.379971,"cheshire","c",1
"419",89,232.5136804,"cheshire","c",1
"420",55,229.1559291,"cheshire","c",1
"421",68,187.2742058,"essex","a",0
"422",87,193.4146872,"essex","a",1
"423",72,183.0901561,"essex","a",0
"424",41,191.4369676,"essex","a",0
"425",72,187.5830611,"essex","a",0
"426",54,194.1433106,"essex","a",1
"427",69,190.3476995,"essex","a",1
"428",95,195.5906784,"essex","a",1
"429",54,185.5103318,"essex","a",1
"430",83,195.131278,"essex","a",1
"431",58,193.1420621,"essex","a",0
"432",53,196.8125429,"essex","a",1
"433",84,187.5895292,"essex","a",1
"434",82,187.5918829,"essex","a",1
"435",67,185.0610719,"essex","a",1
"436",58,195.2989693,"essex","a",1
"437",70,187.7512061,"essex","a",0
"438",70,191.5504562,"essex","a",0
"439",100,193.4236447,"essex","a",1
"440",55,187.2260442,"essex","a",1
"441",80,201.4693094,"essex","b",1
"442",55,200.0089144,"essex","b",0
"443",25,201.1818922,"essex","b",1
"444",60,203.0729543,"essex","b",0
"445",65,196.7923379,"essex","b",1
"446",67,211.515051,"essex","b",1
"447",59,197.4586825,"essex","b",0
"448",51,197.3639815,"essex","b",0
"449",71,200.1878132,"essex","b",1
"450",78,200.1565211,"essex","b",1
"451",43,200.004242,"essex","b",1
"452",41,199.2015347,"essex","b",1
"453",57,196.3897333,"essex","b",1
"454",75,203.1731159,"essex","b",1
"455",77,193.5597646,"essex","b",1
"456",71,200.1274406,"essex","b",1
"457",49,204.1876621,"essex","b",0
"458",41,200.6415586,"essex","b",0
"459",13,199.9993253,"essex","b",1
"460",76,193.3399833,"essex","b",1
"461",77,212.2828061,"essex","c",0
"462",74,209.3062303,"essex","c",1
"463",94,216.7270906,"essex","c",1
"464",62,222.4187767,"essex","c",1
"465",59,206.2145502,"essex","c",0
"466",67,209.9636539,"essex","c",0
"467",51,203.2931779,"essex","c",1
"468",57,212.7266793,"essex","c",0
"469",70,209.9372328,"essex","c",1
"470",77,215.9616383,"essex","c",1
"471",74,214.1953811,"essex","c",0
"472",58,211.6900388,"essex","c",0
"473",64,222.9063425,"essex","c",0
"474",54,222.4036862,"essex","c",1
"475",87,205.6941259,"essex","c",1
"476",82,211.1533123,"essex","c",1
"477",59,213.5771741,"essex","c",0
"478",69,207.625105,"essex","c",1
"479",75,198.2527734,"essex","c",1
"480",66,208.0559773,"essex","c",1
